Breed,Disease,Disorder,Recommended Recipes
airedale terrier,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
airedale terrier,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
airedale terrier,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
akita,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
akita,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
akita,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
akita,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
akita,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
akita,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
akita,Pemphigus,Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
akita,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
akita,Pemphigus,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
akita,sebaceous adenitis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
alaskan malamute,Diabetes mellitus,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
alaskan malamute,Hypothyroidism,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
alaskan malamute,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
alaskan malamute,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
alaskan malamute,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
alaskan malamute,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
alaskan malamute,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
alaskan malamute,Osteochondrodysplasia - skeletal dwarfism,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
alaskan malamute,Peripheral neuropathies,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
alaskan malamute,zinc-responsive dermatosis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
american bulldog,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
american bulldog,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
american bulldog,Lysosomal storage diseases,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
american eskimo dog,Pyruvate kinase (PK) deficiency,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
american staffordshire terrier,Disorders of sexual development - sexual reversal,Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
american staffordshire terrier,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
american staffordshire terrier,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
american staffordshire terrier,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
american staffordshire terrier,Demodicosis/ Demodectic mange,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
american water spaniel,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
american water spaniel,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
american water spaniel,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
american water spaniel,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
american water spaniel,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
american water spaniel,pattern baldness,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
australian cattle dog,Portosystemic shunt,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
australian cattle dog,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian cattle dog,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian cattle dog,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian cattle dog,Portosystemic shunt,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
australian cattle dog,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
australian cattle dog,Deafness,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
australian cattle dog,Dermatomyositis and ulcerative dermatosis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
australian kelpie,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian kelpie,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
australian kelpie,Globoid cell leukodystrophy (galactocerebrosidosis),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
australian kelpie,Cutaneous asthenia (Ehlers-Danlos syndrome),Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
australian shepherd,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian shepherd,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian shepherd,Pannus - chronic superficial keratitis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian shepherd,Persistent pupillary membranes (PPM),Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian shepherd,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian shepherd,Collie eye anomaly (CEA),Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian shepherd,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian shepherd,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
australian shepherd,Deafness,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
australian terrier,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
australian terrier,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basenji,Pyruvate kinase (PK) deficiency,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
basenji,Fanconi syndrome,Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
basenji,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basenji,Persistent pupillary membranes (PPM),Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basenji,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basenji,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basenji,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basenji,Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
basenji,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
basset hound,"Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia)",Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
basset hound,Ectropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basset hound,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basset hound,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basset hound,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basset hound,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
basset hound,Severe combined immunodeficiency (SCID),Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
basset hound,Cervical vertebral instability (Wobbler syndrome),Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
basset hound,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
basset hound,Panosteitis,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
basset hound,Patellar luxation,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
basset hound,Intervertebral disk disease,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
basset hound,Intervertebral disk disease,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
basset hound,Cervical vertebral instability (Wobbler syndrome),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
basset hound,Follicular dysplasias,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
basset hound,seborrhea,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
beagle,Mitral valve dysplasia,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
beagle,Pulmonic stenosis,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
beagle,Disorders of sexual development - sexual reversal,Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
beagle,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
beagle,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
beagle,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
beagle,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
beagle,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
beagle,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
beagle,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
beagle,Selective IgA deficiency,Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
beagle,Cervical vertebral instability (Wobbler syndrome),Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
beagle,Intervertebral disk disease,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
beagle,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
beagle,Globoid cell leukodystrophy (galactocerebrosidosis),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
beagle,Deafness,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
beagle,Idiopathic epilepsy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
beagle,Intervertebral disk disease,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
beagle,Shaker dog syndrome,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
beagle,Cervical vertebral instability (Wobbler syndrome),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
beagle,Cutaneous asthenia (Ehlers-Danlos syndrome),Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
beagle,Demodicosis/ Demodectic mange,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
bearded collie,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bearded collie,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bearded collie,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bearded collie,Pemphigus,Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
bearded collie,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
bearded collie,Follicular dysplasias,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
bearded collie,Pemphigus,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
bedlington terrier,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bedlington terrier,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bedlington terrier,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bedlington terrier,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bedlington terrier,Chronic hepatitis,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
belgian malinois,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian malinois,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian malinois,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
belgian sheepdog,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian sheepdog,Pannus - chronic superficial keratitis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian sheepdog,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian sheepdog,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian sheepdog,X-linked muscular dystrophy,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
belgian tervuren,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian tervuren,Pannus - chronic superficial keratitis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian tervuren,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
belgian tervuren,Idiopathic epilepsy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
belgian tervuren,vitiligo,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
bernese mountain dog,Histiocytosis,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
bernese mountain dog,von Willebrand's disease,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
bernese mountain dog,Subaortic stenosis,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
bernese mountain dog,Familial kidney disease,Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
bernese mountain dog,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bernese mountain dog,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bernese mountain dog,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
bernese mountain dog,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
bernese mountain dog,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
bernese mountain dog,"Hypo-/dysmyelinogenesis (""shaking pup"")",Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
bernese mountain dog,Idiopathic epilepsy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
bernese mountain dog,Meningitis,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
bernese mountain dog,colour dilution alopecia,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
bichon frise,Hemophilia,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
bichon frise,Patent ductus arteriosus (PDA),Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
bichon frise,Urolithiasis (stones),Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
bichon frise,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bichon frise,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
bichon frise,Atopy,Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
bichon frise,Idiopathic epilepsy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
bichon frise,Shaker dog syndrome,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
bichon frise,Atopy,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
